institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
gu	2017	1700	10.1155/2017/1809592	FALSE						
gu	2017	1063	10.1155/2017/4262053	FALSE						
gu	2017	0	10.1155/2017/6925215	FALSE						
gu	2017	1276	10.1177/2041731417738145	FALSE						
gu	2017	0	10.1177/2056305117696522	FALSE						
gu	2017	1760	10.1177/1474515117715843	TRUE						
gu	2017	0	10.1177/1455072517707887	FALSE						
gu	2017	0	10.1177/2053168016686915	FALSE						
gu	2017	2565	10.1177/2325957417729752	TRUE						
gu	2017	1822	10.1177/1363460717715032	FALSE						
