institution	period	sek	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
hv	2020	17259.39	10.3390/ma13173770	FALSE						
hv	2020	2843.28	10.34190/EJEG.18.1.003	FALSE						
hv	2020	9036.75	10.1016/j.mtcomm.2020.100958	TRUE						
hv	2020	28507.18	10.1016/j.surfcoat.2020.125950	TRUE						
hv	2020	29680.91	10.1016/j.wear.2020.203284	TRUE						
hv	2020	21523.52	10.1097/CEH.0000000000000303	TRUE						
hv	2020	9343.8	10.17645/pag.v8i3.3015	FALSE						
hv	2020	3893.88	10.26855/er.2020.03.004	FALSE						
hv	2020	3979.04	10.26855/er.2020.05.001	FALSE						
hv	2020	25581.72	10.3389/fpsyt.2020.00136	FALSE						
hv	2020	10075.41	10.3389/frobt.2020.00046	FALSE						
hv	2020	19600.8823	10.3390/ijerph17228514	FALSE						
hv	2020	19282	10.3390/ijerph18020659	FALSE						
hv	2020	17044	10.3390/ma13225198	FALSE						
hv	2020	2843.28	10.3390/met10010096	TRUE						
hv	2020	14776	10.3390/met10040519	FALSE						
hv	2020	13903.16	10.3390/met10080996	FALSE						
hv	2020	12329.34	10.3390/su12041298	FALSE						
hv	2020	13978.95	10.3390/su12166391	FALSE						
