institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
kth,2017,30,10.4230/lipics.csl.2017.1,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.10,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.11,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.12,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.13,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.14,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.15,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.16,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.17,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.18,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.19,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.2,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.20,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.21,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.22,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.23,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.24,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.25,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.26,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.27,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.28,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.29,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.3,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.30,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.31,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.32,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.33,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.34,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.35,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.36,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.37,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.38,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.39,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.4,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.40,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.41,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.42,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.5,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.6,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.7,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.8,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,30,10.4230/lipics.csl.2017.9,FALSE,Dagstuhl Research Online Publication Server,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kau,2018,174,10.14419/ijet.v7i2.8489,TRUE,kapitel_i_bok,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,1274,10.2166/9781780404929_099,TRUE,kapitel_i_bok,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,1837,10.1007/978-3-319-73065-3_8,TRUE,kapitel_i_bok,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
kth,2017,1837,10.1007/978-3-319-73065-3_9,TRUE,kapitel_i_bok,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
