acronym	organisation
bra	National Council for Crime Prevention
bth	Blekinge Institute of Technology
can	Swedish Council for Information on Alcohol and Other Drugs
cth	Chalmers University of Technology
du	Dalarna University College
energimyndigheten	Swedish Energy Agency
esh	Ersta Sköndal University College
fhs	Swedish National Defence College
fmv	Swedish Defence Materiel Administration
foi	Swedish Defence Research Agency
folkhalsomyndigheten	Public Health Agency of Sweden
gih	Swedish School of Sport and Health Sciences
gu	University of Gothenburg
hb	Borås University College
hh	Halmstad University College
hhs	Stockholm School of Economics
hig	Gävle University College
his	Skövde University College
hj	Jönköping University Foundation
hkr	Kristianstad University College
hv	University College West
jordbruksverket	Swedish Board Of Agriculture
kau	Karlstad University
kb	National Library of Sweden
ki	Karolinska Institutet
kmh	Royal College of Music in Stockholm
konstfack	University College of Art, Craft and Design
kth	KTH Royal Institute of Technology
lakemedelsverket	Medical Products Agency
liu	Linköping University
livsmedelsverket	National Food Administration
lnu	Linnaeus University
ltu	Luleå University of Technology
lu	Lund University
mah	Malmö University College
mdh	Mälardalen University College
miun	Mid Sweden University
naturvardsverket	Swedish Environmental Protection Agency
nordiskamuseet	Nordiska muséet
nrm	Swedish Museum of Natural History
oru	Örebro University
raa	National Heritage Board
ri	RISE Research Institutes of Sweden
rkh	Red Cross University College of Nursing
sbu	Swedish Council On Technology Assessment In Health Care
scb	Statistics Sweden
sgu	Geological Survey Of Sweden
sh	Södertörns University College
shh	Sophiahemmet University College
sipri	Stockholm International Peace Research Institute
slu	Swedish University of Agricultural Sciences
smhi	Swedish Meteorological and Hydrological Institute
socialstyrelsen	National Board of Health and Welfare
su	Stockholm University
swedgeo	Swedish Geotechnical Institute
umu	Umeå University
uniarts	Stockholm University of the Arts
uu	Uppsala University
vr	Swedish Research Council
vti	Swedish National Road and Transport Research Institute
