institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
su,2021, 247.29,10.1080/14649365.2021.2007541,TRUE,Taylor & Francis,Social & Cultural Geography,,,,
su,2021, 224.43,10.1080/14631369.2021.2007754,TRUE,Taylor & Francis,Asian Ethnicity,,,,
su,2021, 224.43,10.1080/13621025.2021.2011142,TRUE,Taylor & Francis,Citizenship Studies,,,,
su,2021, 224.43,10.1080/03468755.2021.2011399,TRUE,Taylor & Francis,Scandinavian Journal of History,,,,
su,2021, 262.12,10.1080/13504622.2021.2012130,TRUE,Taylor & Francis,Environmental Education Research,,,,
su,2021, 224.43,10.1080/2578983X.2021.2012065,TRUE,Taylor & Francis,Nordic Journal of Criminology,,,,
su,2021,2699.19,10.1080/17565529.2021.2022449,TRUE,Taylor & Francis,Climate and Development,,,,
su,2021,2158.48,10.1080/02619768.2021.2019216,TRUE,Taylor & Francis,European Journal of Teacher Education,,,,
su,2021,2311.10,10.1080/13507486.2021.2018406,TRUE,Taylor & Francis,European Review of History: Revue européenne d'histoire,,,,
su,2021,2311.10,10.1080/03069885.2021.2016614,TRUE,Taylor & Francis,British Journal of Guidance & Counselling,,,,
su,2021,2311.10,10.1080/08038740.2021.2018039,TRUE,Taylor & Francis,NORA - Nordic Journal of Feminist and Gender Research,,,,
su,2021,2546.57,10.1080/13691457.2021.2016642,TRUE,Taylor & Francis,European Journal of Social Work,,,,
su,2021,2311.10,10.1080/1360144X.2021.2016414,TRUE,Taylor & Francis,International Journal for Academic Development,,,,
su,2021,2311.10,10.1080/19012276.2021.2014350,TRUE,Taylor & Francis,Nordic Psychology,,,,
su,2021,2311.10,10.1080/24732850.2021.2013347,TRUE,Taylor & Francis,Journal of Forensic Psychology Research and Practice,,,,
su,2021,2158.48,10.1080/14664208.2021.2013061,TRUE,Taylor & Francis,Current Issues in Language Planning,,,,
su,2021,2311.10,10.1080/19012276.2021.2001677,TRUE,Taylor & Francis,Nordic Psychology,,,,
su,2021,2311.10,10.1080/17441730.2021.1992858,TRUE,Taylor & Francis,Asian Population Studies,,,,
su,2021,2311.10,10.1080/24732850.2021.2013177,TRUE,Taylor & Francis,Journal of Forensic Psychology Research and Practice,,,,
su,2021,2158.48,10.1080/00048402.2021.2013909,TRUE,Taylor & Francis,Australasian Journal of Philosophy,,,,
su,2022,2278.72,10.3389/fchem.2021.708538,FALSE,Frontiers,Frontiers in Physics,,,,
